title,lyrics
Anirudh Ravichander Thangamey lyrics,tngkmee onnnnnnttaannn|-|teetti vnteennn naannnee! heeyeeyee!|-|vairmee oru naall|-|onnnnnn tuukkuveennnee! heeyeeyee!|-|raacaattiy raattiri paartteennn|-|Rowdy pynnn Romantic aannneennn|-|rkciymaa Route-a poottttu|-|kttttnnnum kttttnnnum kttttnnnum onnnnnn|-|vaay muutti vaay polnteennn|-|verrum kaalul vinnnvelli poonnneennn|-|verrppaayiruntaalum vlllinyceennn|-|nirruttnnnum nirruttnnnum nirruttnnnum ennnnnn|-|Black And White knnnnu unnnnnn paarttaa Colour-a maarrutee|-|turu putticc kaatl nrmpellaam currucurruppaak ciirrutee|-|av Face-u attttttttttttaa!|-|av Shape-u appppppppppppaa!|-|mottttul ayyyyyyyyyyyyoo!|-|illlukkutu illlukkutu illlukkutu ennnnnn|-|tngkmee onnnnnnttaannn|-|teetti vnteennn naannnee! heeyeeyee!|-|vairmee oru naall|-|onnnnnn tuukkuveennnee! heeyeeyee!|-|(Music)|-|eey nii ennnnnn paarkkurr maatiri|-|naannn unnnnnn paarkklaiyee|-|naannn peecum kaatl vcnnnm|-|unnnkkutaannn keettklaiyee|-|attiyee! ennn knnnvul cenycu vecc cilaiyee|-|kottiyee! ennn knnnnukkullll potti vaippeennn unnnaiyee|-|oru pillaa pool naannnum aannnaalum|-|unnnnnn nll paarttuppeennnee ennnnnnaallum|-|atti eeleelllu jennnmm aannnaalum|-|nii illaaml naannnilltti|-|tngkmee onnnnnnttaannn|-|teetti vnteennn naannnee! heeyeeyee!|-|vairmee oru naall|-|onnnnnn tuukkuveennnee! heeyeeyee!|-|raacaattiy raattiri paartteennn|-|Rowdy pynnn Romantic aannneennn|-|rkciymaa Route-a poottttu|-|kttttnnnum kttttnnnum kttttnnnum onnnnnn|-|vaay muutti vaay polnteennn|-|verrum kaalul vinnnvelli poonnneennn|-|verrppaayiruntaalum vlllinyceennn|-|nirruttnnnum nirruttnnnum nirruttnnnum ennnnnn|-|Black And White knnnnu unnnnnn paarttaa Colour-a maarrutee|-|turu putticc kaatl nrmpellaam currucurruppaak ciirrutee|-|av Face-u attttttttttttaa!|-|av Shape-u appppppppppppaa!|-|mottttul ayyyyyyyyyyyyoo!|-|illlukkutu illlukkutu illlukkutu ennnnnn
Anirudh Ravichander The Karma Theme (Tamil) lyrics,Thisai thirumbi naalum|-|Kadal malai kadanthu pohnalum|-|Manam thirunthi naalum|-|Vazhi ranam maranthu pohnalum|-|Sagaaa...|-|Kaalam thooram enge sendralum|-|Sagaaa...|-|Vinai unai thodum|-|Un sirippukku vithai...neethan|-|Un kanneerikkum ore vinai neethan|-|Ambu vitta velan...neethan|-|Ambai thaanga poghum nenjam neethan|-|Manam thirunthi naalum...|-|Kanaa kalaintha pothum|-|Yetho vinaa enai panthadum|-|Yevan varaintha maayam|-|Ival ivan verum athyayam|-|Sagaaa...|-|Vedum odum kaalam theeratha|-|Sagaaa...|-|Ellai illathetha|-|Thedi chellum kangal...neethan|-|Kannil kaanum inbam yethum neethan|-|Vinbam kaattu paathai...neethan|-|Pathai sendru sehrum idam neethan|-|Yevan varaintha maayam...|-|Neeye vithai neeye|-|Mazhai maram nee neeye|-|Kizhai neeye|-|Kani marupadi|-|Neeye vithai neeye|-|Mazhai maram nee neeye|-|Kizhai neeye|-|Kani marupadi|-|Sagaaa...|-|Kaalam thooram enge sendralum|-|Sagaaa...|-|Vinai unai thodum|-|Manam thirunthi naalum...
Anirudh Ravichander The Karma Theme - Telugu lyrics,Thisai Thirumbi Naalum|-|Kadal Malai Kadanthu Pohnalum|-|Manam Thirunthi Naalum|-|Vazhi Ranam Maranthu Pohnalum|-|Sagaaa...|-|Kaalam Thooram Enge Sendralum|-|Sagaaa...|-|Vinai Unai Thodum|-|Un Sirippukku Vithai...Neethan|-|Un Kanneerikkum Ore Vinai Neethan|-|Ambu Vitta Velan...Neethan|-|Ambai Thaanga Poghum Nenjam Neethan|-|Manam Thirunthi Naalum...|-|Kanaa Kalaintha Pothum|-|Yetho Vinaa Enai Panthadum|-|Yevan Varaintha Maayam|-|Ival Ivan Verum Athyayam|-|Sagaaa...|-|Vedum Odum Kaalam Theeratha|-|Sagaaa...|-|Ellai Illathetha|-|Thedi Chellum Kangal...Neethan|-|Kannil Kaanum Inbam Yethum Neethan|-|Vinbam Kaattu Paathai...Neethan|-|Pathai Sendru Sehrum Idam Neethan|-|Yevan Varaintha Maayam...|-|Neeye Vithai|-|Neeye Mazhai|-|Maram Nee|-|Neeye Kizhai|-|Neeye Kani|-|Marupadi|-|Neeye Vithai|-|Neeye Mazhai|-|Maram Nee|-|Neeye Kizhai|-|Neeye Kani|-|Marupadi|-|Sagaaa...|-|Kaalam Thooram Enge Sendralum|-|Sagaaa...|-|Vinai Unai Thodum|-|Manam Thirunthi Naalum...
"Anirudh Ravichander The Karma Theme - Telugu (From ""U Turn"") lyrics",Thisai Thirumbi Naalum|-|Kadal Malai Kadanthu Pohnalum|-|Manam Thirunthi Naalum|-|Vazhi Ranam Maranthu Pohnalum|-|Sagaaa...|-|Kaalam Thooram Enge Sendralum|-|Sagaaa...|-|Vinai Unai Thodum|-|Un Sirippukku Vithai...Neethan|-|Un Kanneerikkum Ore Vinai Neethan|-|Ambu Vitta Velan...Neethan|-|Ambai Thaanga Poghum Nenjam Neethan|-|Manam Thirunthi Naalum...|-|Kanaa Kalaintha Pothum|-|Yetho Vinaa Enai Panthadum|-|Yevan Varaintha Maayam|-|Ival Ivan Verum Athyayam|-|Sagaaa...|-|Vedum Odum Kaalam Theeratha|-|Sagaaa...|-|Ellai Illathetha|-|Thedi Chellum Kangal...Neethan|-|Kannil Kaanum Inbam Yethum Neethan|-|Vinbam Kaattu Paathai...Neethan|-|Pathai Sendru Sehrum Idam Neethan|-|Yevan Varaintha Maayam...|-|Neeye Vithai|-|Neeye Mazhai|-|Maram Nee|-|Neeye Kizhai|-|Neeye Kani|-|Marupadi|-|Neeye Vithai|-|Neeye Mazhai|-|Maram Nee|-|Neeye Kizhai|-|Neeye Kani|-|Marupadi|-|Sagaaa...|-|Kaalam Thooram Enge Sendralum|-|Sagaaa...|-|Vinai Unai Thodum|-|Manam Thirunthi Naalum...
A. R. Rahman Mersalaayitten lyrics,Male: Oh yeah... kabadi kabadi than... aiyee...|-|motha thabha parthen unna|-|bejaar aayi poyi ninnen ninnen|-|Krishna oil ootthaama pattha vechiyae|-|Kozhaathanni ennai naan mersa laayitten|-|Mersa laayitten mersa laayitten mersa laayitten mersa laayitten|-|Naa mersa laayitten mersa laayitten|-|mersa laayitten mersa laayitten mersa laayitten|-|Motha thabha parthen unna|-|Bejaar aayi poyi ninnen ponne|-|Krishna oil ootthaama pattha vechiye|-|Kozhaaththanni ennai naan mersa laayitten|-|Mersa laayitten mersa laayitten mersa laayitten mersa laayitten|-|Yei dosai kallu mel vellai omelet -ah|-|Oru kutti nila nenjukkulla kunthikittaalae|-|Vaana villu nee binny millu naan|-|Ennai yezhu color lungi yaaga madichu puttaa lae|-|Maattu kombu mela ava pattaam poochi pola|-|Naa mersa laayitten naa mersa laayitten naa mersa laayitten|-|Female:(motha thabha) Mersa laayitten|-|(motha thabha) mersa laayitten (motha thabha)|-|mersa laayitten (motha thabha) mersa laayitten|-|mersa laayitten mersa laayitten mersa laayitten mersa laayitten|-|Yei theanga baththai pol vellai pallaa lae|-|Oru manga baththai pola ennai mennu thinnaa lae|-|On maanjaa kannaa lae ennai aruthu puttaa lae|-|Naan current -u kambi kaatthaadi ya matti kittaenae|-|Nee vennila mootta ivan vannaara pettai|-|Motha thabha parthen unna|-|bejaar aayi poyi ninnen ponnae|-|Krishna oil ootthaama pattha vechiye|-|Kozhaaththanni ennai naan mersa laayitten|-|Mersa laayitten mersa laayitten mersa laayitten mersa laayitten
"STR Kalakku Machaan (From ""Sakka Podu Podu Raja"") lyrics",Kalakku Machan Daulathila|-|Kaala Vaarum Kaalathula|-|Kalanga Naama Kozhailla|-|Kalathula Erangi Kaalai Pola|-|Right-u Thought Ullathula|-|Vechirukkum Nalla Pulla|-|Fake-a Naanum Nadikala|-|Palasa Ennikum Marakkala|-|Kindalilla King-u Da|-|Eppovume Young-u Da|-|Timing Enakku Thembuda|-|Mothinaaka Sanguda|-|Oorukulla Keluda|-|Thozh Kodukkum Aaluda|-|Natpukku Naan Theruda|-|Edupen Nalla Peruda|-|Yera Yera yera Poren|-|Naanum Yeni Pottu Mela Poren|-|Vera Maari Maara Poren|-|Inime Namma Scene-u Neeyum Paaren|-|Poruthu Paren|-|Ethukku Thuninji Irukkum Varaikkum|-|Nenaikkum Ellam Nadakkum|-|Thadukum Thayakam Nadakum Unakum|-|Bayatha Kodukum|-|Parakum Aasai Selikum Unnai|-|Mayakum Kedukum|-|Azhikum Sirikum Kodukum|-|Marakum Manasu Irundha Manakkum|-|Kasjtamna Kaiya Koduthu|-|Irupatha Tharanum Eduthu|-|Irukkura Nelama Poruthu|-|Life-a Nee Nadathu|-|Thapathan Thalli Niruthu|-|Machan Nee Mind-a Thiruthu|-|Ketadha Naadu Kadathu|-|Idhu En Karuthu|-|Yera Yera yera Poren|-|Naanum Yeni Pottu Mela Poren|-|Vera Maari Maara Poren|-|Inime Namma Scene-u Neeyum Paaren|-|Poruthu Paren|-|Pacha Pulla Payapulla|-|Machan Thanda Mappula|-|Dust Ella Ennathula|-|Best-a Iruppen Gunathila|-|Right-a Vazha Bayamila|-|Thappu Panna Time Illa|-|Kadavul Kudutha Life La|-|Kalaurenda Siripula|-|Per Edutha Luck la|-|Kaatadha Nakkala|-|Pugazhchi Enum Kick la|-|Evanum Steady-a Nikkala|-|Vena Vena Vena Andha Route-u|-|Neeyum Vera Pakkam Minda Maathu|-|Thadaya Ellam Thukki Podu|-|Un Thiramai ELlam Neeyum Kaatu|-|Weight-u Kaatu
Nucleya Going to America lyrics,"I am going to America,|-|To see my girl Monica|-|If she is very busy|-|There is always Erica|-|I am going to America,|-|To see my girl Monica|-|If she is very busy|-|There is always Veronica|-|I have been to Africa|-|I have been to Sri Lanka|-|I have been to Antartica|-|But God bless America|-|I am going to America|-|Hey Pulla|-|Hey Pulla|-|I am going to America,|-|To see my girl Monica,|-|If she is very busy,|-|There is always Erica|-|I am going to America,|-|To see my girl Monica,|-|If she is very busy,|-|There is always Veronica|-|I have been to Africa|-|I have been to Sri Lanka|-|I have been to Antartica|-|But I am Nucleya from India|-|I am going to America|-|Hey Pulla|-|There is always Veronica|-|Hey Pulla|-|There is always Veronica!"
S.P. Balasubrahmanyam Marana Mass lyrics,Thatlaatam dhaanga|-|Tharlaaga song ah|-|Ullaara vandhaana|-|Pollaadha veanga|-|Thatlaatam dhaanga|-|Tharlaaga song ah|-|Ullaara vandhaana|-|Pollaadha veanga|-|Thimuraama vaanga|-|Bulpaaidu veenga|-|Morapoda nippanaa|-|Muttaama ponga|-|Getthaa nadandhu varaan|-|Gate ah ellaam|-|Kadandhu varaan|-|Tha vediya onnu|-|Podu thillaala|-|Sleeve ah surutti varaan|-|Collar thaa perati varaan|-|Mudiya siluppi uttaa|-|Yerum ullaara|-|Maranam mass-u maranam|-|Tough tharanum|-|Adukku avan thaan|-|Porandhu varanum|-|Maranam mass-u maranam|-|Tough tharanum|-|Step-u morayaa vuzhanam|-|Thatlaatam dhaanga|-|Tharlaaga song ah|-|Ullaara vandhaana|-|Pollaadha veanga|-|Thimuraama vaanga|-|Bulpaaidu veenga|-|Morapoda nippanaa|-|Muttaama ponga|-|Evandaa mela|-|Evandaa keezha|-|Elaa uyirayum|-|Onnaave paaru|-|Mudinja varaikum|-|Anba seru|-|Thalayil yethi vachu|-|Kondadum ooru|-|Nyayam irudhu|-|Edhuththu variyaa|-|Unna madhippen|-|Adhu en pazhakkam|-|Kaala izhuthu|-|Uyuru nenachaa|-|Ketta paya sir|-|Idiya idikkum|-|Getthaa nadandhu varaan|-|Gate ah ellaam|-|Kadandhu varaan|-|Tha vediya onnu|-|Podu thillaala|-|Sleeve ah surutti varaan|-|Collar thaa perati varaan|-|Mudiya siluppi uttaa|-|Yerum ullaara|-|Maranam mass-u maranam|-|Tough tharanum|-|Adukku avan thaan|-|Porandhu varanum|-|Maranam mass-u maranam|-|Tough tharanum|-|Step-u morayaa vuzhanam|-|Thatlaatam dhaanga|-|Tharlaaga song ah|-|Ullaara vandhaana|-|Pollaadha veanga|-|Thimuraama vaanga|-|Bulpaaidu veenga|-|Morapoda nippanaa|-|Muttaama ponga|-|Ittalpathiri|-|Solluputhiri|-|Ittalpathiri|-|Solluputhiri salpilo|-|Ittalpathiri|-|Solluputhiri salpilo|-|Ittalpathiri|-|Solluputhiri|-|Ittalpathiri|-|Solluputhiri salpilo|-|Maranam mass-u maranam|-|Tough tharanum|-|Adukku avan thaan|-|Porandhu varanum|-|Maranam mass-u maranam|-|Tough tharanum|-|Step-u morayaa vuzhanam
Anirudh Ravichander The Maari Swag lyrics,intaa eey intaa eey intaa eey intaa|-|eey intaa eey intaa eey intaa eey intaa|-|eey tintkku tkitt tintkku tkitt tintkku tkitt tintkku tkitt|-|tintkku tkitt tintkku tkitt tintkku tkitt tintkku tkitt|-|maari . . .|-|intaa eey intaa eey intaa eey intaa eey|-|intaa eey intaa eey intaa eey intaa
Anirudh Ravichander The Theri Theme lyrics,2|-|Theri Theri|-|Theri Theri|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Theri Theri|-|Theri Theri|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Sinam Konda Madha Yaanai|-|Madha Dhugal Therith Thaada|-|Theri Theri|-|Theri Theri
Anirudh Ravichander Vaa Velaikkara lyrics,Un kai|-|naalai|-|uyaraadho|-|Uyaraadho|-|Uyaraadhoaa|-|Vervai|-|un per|-|yezhudhaadho|-|Yezhudhaadho|-|Yezhudhaadho|-|Eni thookkida|-|un thozhile|-|Vaa velaikkara|-|Theivame nee seithidum pallaakkile|-|Vaa Velaikkara|-|May maddume|-|un maadhama yaar sonnadhu|-|Vaa Velaikkara|-|Ennaalume un vervaiyai kondaadidum|-|Vaa Velaikkara|-|Unadhu kai viral uzhigalaagudhe|-|Ulagai seigiraai velaikkara|-|Valigal thaangi nee Vazhigal seigiraai|-|Thalaivan neeyada velaikkara|-|Kan thoongi viduma|-|kandathillai thuliyum oyyvu|-|Ododi uzhaiththum nagaraamal verkkum|-|Avanin vaazhvu|-|Thannaasaiyil|-|man veesiye|-|Nam aasaiyai|-|kodiyetrinaan|-|Edhirkaalame|-|namadhaagave|-|Pudhu boomiyil kudiyetrinaan|-|Unadhu kai viral uzhigalaagudhe|-|Ulagai seigiraai velaikkara|-|Valigal thaangi nee Vazhigal seigiraai|-|Thalaivan neeyada velaikkara|-|Unadhu kai viral uzhigalaagudhe|-|Ulagai seigiraai velaikkara|-|Valigal thaangi nee Vazhigal seigiraai|-|Thalaivan neeyada velaikkara (Music Dominates)|-|Velaikkara|-|Velaikkara|-|Velaikkaaaraa
Anirudh Ravichander Velai Illa Pattadhari lyrics,Velai Illa Pattadhari|-|Thottu Paatha Shock Adikkum Vera Maari|-|Indru Muthal Kaalangal Pookattum|-|Kaalamellam Maarettum Tholodu Thol Serada|-|Tholvi Inil Vervaigal Oothathum|-|Vega Ellai Meerattum MunNokki Nee Odada.|-|Tea Kada Raaja Naanga. VIP|-|Naalaya Indian Thaanga. VIP|-|Puriyatha Sarithiramaga. VIP|-|Aama Thimiritha Poga.|-|Tea Kada Raaja Naanga. VIP|-|Naalaya Indian Thaanga. VIP|-|Puriyatha Sarithiramaga. VIP|-|Aama Thimiritha Poga.|-|VIP. VIP.|-|VIP. VIP.|-|Thadai Athai Udai|-|Oru Sariththiram Padai. Naalai Namathey.|-|Vali Athai Ozhi|-|Puthu Vazhi Piranthidum Athu Uruthi|-|Thadai Athai Udai|-|Oru Sariththiram Padai. Naalai Namathey.|-|Vali Athai Ozhi|-|Puthu Vazhi Piranthidum Athu Uruthi|-|Nooraaga Padai Nooraga|-|Thotta Idamellam Thoolaaga|-|Veraaga vazhi Neraaaga|-|Vellalaam Thaaru Maaraaga|-|Kaalangal Pookattum|-|Kaalamellam Maarettum Tholodu Thol Serada|-|Tholvi Inil Vervaigal Oothathum|-|Vegam Ellai Meerattum MunNokki Nee Odada.|-|Velai Illa Pattadhari|-|Thottu Paatha Shock Adikkum Vera Maari|-|Velai Illa Pattadhari|-|Thottu Paatha Shock Adikkum Vera Maari|-|Tea Kada Raaja Naanga.|-|Naalaya Indian Thaanga.|-|Puriyatha Sarithiramaga.|-|Aama Thimiritha Poga.|-|Tea Kada Raaja Naanga. VIP.|-|Naalaya Indian Thaanga. VIP.|-|Puriyatha Sarithiramaga. VIP.|-|Aama Thimiritha Poga
Anirudh Ravichander Veriyera lyrics,Veriyera Vidhi Maara|-|Sadhikara Kadhi Maara|-|Oru Nooru Padai Modha|-|Veriyera Vidhi Maara Sadhikara Kadhi Maara Vaaran Paaru|-|Oru Nooru Padai Modha Edhirodu Ivan Yera Poran Paru|-|Veeram aanmai rosham engum vanagadhu|-|Needhi nindril indrea vellatum|-|Soorai Kaatru Karunai Nilame Kaatadhu|-|Vaada Puyala Suzhala Alaikadalena Karai Thagarkave|-|Vaada evu Indri Pagai Aadu|-|Poda Kaavu Kondu Kalamadu|-|Nee Theeyin Seiyada Needhi Seiyada|-|Ooda Oodave Pagai Thedi Koiyada|-|Vaada evu Indri Pagai Aadu|-|Poda Kaavu Kondu Kalamadu|-|Nee Theeyin Seiyada Needhi Seiyada|-|Ooda Oodave Pagai Thedi Koiyada|-|Veriyera Vidhi Maara Sadhikara Kadhi Maara Vaaran Paaru|-|Oru Nooru Padai Modha Edhirodu Ivan Yera Poran Paru|-|Thee parandhida nee ezhudhida|-|Va adhirdhida kan sivandhida|-|Man asaidhida por muzhangida|-|Nerra nee vaada va|-|Po ezhundhida uyir asaidhida|-|Thaan thada thada Ven thirandhida Irukarangalil idi irangida|-|Veera ne vaaa|-|Adada Nee Adikka Thol thudikkka naan rasikka Vettai Aadu|-|Pudida naramb pudaika nee norukka surrai aadu|-|Vaada evu Indri Pagai Aadu|-|Poda Kaavu Kondu Kalamadu|-|Nee Theeyin Seiyada Needhi Seiyada|-|Ooda Oodave Pagai Thedi Koiyada|-|Vaada evu Indri Pagai Aadu|-|Poda Kaavu Kondu Kalamadu|-|Nee Theeyin Seiyada Needhi Seiyada|-|Ooda Oodave Pagai Thedi Koiyada|-|Veriyera Vidhi Maara Sadhikara Kadhi Maara Vaaran Paaru|-|Oru Nooru Padai Modha Edhirodu Ivan Yera Poran Paru|-|Veeram aanmai rosham engum vanagadhu|-|Needhi nindril indrea vellatum|-|Soorai Kaatru Karunai Nilame Kaatadhu Vaada Puyala Suzhala Alaikadalena Karai Thagarkavea!!!|-|Anirudh feat
Anirudh Ravichander Yaanji lyrics,Yaanji Yaanji|-|En Nenjil Vandhu Vandhu Nikkura|-|Yaen Yaen Yaen|-|Enna Saanji Saanji|-|Nee Paarthu Unna Sikka Veikura|-|Kanavinil Mulaikiraai|-|Imai Anaikkayil Naan|-|Vinavena Valaigiraen|-|Unai Ninaikiyil|-|Oh Nenjaathiyae Nenjaathiyae|-|Needhanadi En Vaazhkaiye|-|Oh Oh Nee Enbadhey|-|Naan Engira Neeyae|-|Oh Nenjaathiyae Nenjaathiyae|-|Needhanadi En Vaazhkaiye|-|Oh Oh Nee Enbadhey|-|Naan Engira Neeyae|-|Yaanji|-|Menmaiyaai Mella Nagarum|-|Yenthan Naatkurippil|-|Vanmayaai Nee Vandhu|-|Serum Maayam Enna|-|Ennavo Seikirai|-|En Aayul Ellaigal Pol Aagiraai|-|Oh Kaandhamaai Ennai|-|Ennai Eirkkum Undhan Anbhu Indrum|-|Saandhamai Ennai Katti Podum|-|Jaalam Enna|-|Ketkiren Kooradi Penmayae|-|Vaazhka Poogathooram|-|Neeyum Naanum|-|Pogavenum|-|Endhan Nenjia Kodi Aasai|-|Thondruthu|-|Nee Endhan Paathi Endrum|-|Naanum Undhan|-|Meedhi Endrum|-|Kaadhal Kaadhukulla|-|Vandhu Odhudhu|-|Yaanji|-|Un Viral Ennai Chellamaaga|-|Theendum Neram|-|Yen Nizhal Unnai Ottikollum|-|ROmba Neram|-|Porvaiyil Noolena|-|Serndhu Kondomae|-|Eppodhum Kan Moodiyae|-|Bammanai Aana|-|Bollalatam Boomi Meedhu|-|Noolinal Aadum|-|Bommaiyaaga Neeyum Naanum|-|Aaduvom Saaduvom Meezhuvom|-|Edho Raagam Nenjukulla|-|Vandhu Vandhu|-|Un Pera Solli Solli|-|Paaduthu|-|En Ratham Cellgl Unna|-|Kanda Pinbu Kodigal|-|Yaendhi Unna Mutham Seiya|-|Solli Koovudhu|-|Yaanji|-|Oh Nenjaathiyae Nenjaathiyae|-|Needhanadi En Vaazhkaiye|-|Oh Oh Nee Enbadhey|-|Naan Engira Neeyae|-|Oh Nenjaathiyae Nenjaathiyae|-|Needhanadi En Vaazhkaiye|-|Oh Oh Nee Enbadhey|-|Naan Engira Neeyae|-|Yaanjiiii|-|yaen
A. R. Rahman Mersalaayitten lyrics,Male: Oh yeah... kabadi kabadi than... aiyee...|-|motha thabha parthen unna|-|bejaar aayi poyi ninnen ninnen|-|Krishna oil ootthaama pattha vechiyae|-|Kozhaathanni ennai naan mersa laayitten|-|Mersa laayitten mersa laayitten mersa laayitten mersa laayitten|-|Naa mersa laayitten mersa laayitten|-|mersa laayitten mersa laayitten mersa laayitten|-|Motha thabha parthen unna|-|Bejaar aayi poyi ninnen ponne|-|Krishna oil ootthaama pattha vechiye|-|Kozhaaththanni ennai naan mersa laayitten|-|Mersa laayitten mersa laayitten mersa laayitten mersa laayitten|-|Yei dosai kallu mel vellai omelet -ah|-|Oru kutti nila nenjukkulla kunthikittaalae|-|Vaana villu nee binny millu naan|-|Ennai yezhu color lungi yaaga madichu puttaa lae|-|Maattu kombu mela ava pattaam poochi pola|-|Naa mersa laayitten naa mersa laayitten naa mersa laayitten|-|Female:(motha thabha) Mersa laayitten|-|(motha thabha) mersa laayitten (motha thabha)|-|mersa laayitten (motha thabha) mersa laayitten|-|mersa laayitten mersa laayitten mersa laayitten mersa laayitten|-|Yei theanga baththai pol vellai pallaa lae|-|Oru manga baththai pola ennai mennu thinnaa lae|-|On maanjaa kannaa lae ennai aruthu puttaa lae|-|Naan current -u kambi kaatthaadi ya matti kittaenae|-|Nee vennila mootta ivan vannaara pettai|-|Motha thabha parthen unna|-|bejaar aayi poyi ninnen ponnae|-|Krishna oil ootthaama pattha vechiye|-|Kozhaaththanni ennai naan mersa laayitten|-|Mersa laayitten mersa laayitten mersa laayitten mersa laayitten
"STR Kalakku Machaan (From ""Sakka Podu Podu Raja"") lyrics",Kalakku Machan Daulathila|-|Kaala Vaarum Kaalathula|-|Kalanga Naama Kozhailla|-|Kalathula Erangi Kaalai Pola|-|Right-u Thought Ullathula|-|Vechirukkum Nalla Pulla|-|Fake-a Naanum Nadikala|-|Palasa Ennikum Marakkala|-|Kindalilla King-u Da|-|Eppovume Young-u Da|-|Timing Enakku Thembuda|-|Mothinaaka Sanguda|-|Oorukulla Keluda|-|Thozh Kodukkum Aaluda|-|Natpukku Naan Theruda|-|Edupen Nalla Peruda|-|Yera Yera yera Poren|-|Naanum Yeni Pottu Mela Poren|-|Vera Maari Maara Poren|-|Inime Namma Scene-u Neeyum Paaren|-|Poruthu Paren|-|Ethukku Thuninji Irukkum Varaikkum|-|Nenaikkum Ellam Nadakkum|-|Thadukum Thayakam Nadakum Unakum|-|Bayatha Kodukum|-|Parakum Aasai Selikum Unnai|-|Mayakum Kedukum|-|Azhikum Sirikum Kodukum|-|Marakum Manasu Irundha Manakkum|-|Kasjtamna Kaiya Koduthu|-|Irupatha Tharanum Eduthu|-|Irukkura Nelama Poruthu|-|Life-a Nee Nadathu|-|Thapathan Thalli Niruthu|-|Machan Nee Mind-a Thiruthu|-|Ketadha Naadu Kadathu|-|Idhu En Karuthu|-|Yera Yera yera Poren|-|Naanum Yeni Pottu Mela Poren|-|Vera Maari Maara Poren|-|Inime Namma Scene-u Neeyum Paaren|-|Poruthu Paren|-|Pacha Pulla Payapulla|-|Machan Thanda Mappula|-|Dust Ella Ennathula|-|Best-a Iruppen Gunathila|-|Right-a Vazha Bayamila|-|Thappu Panna Time Illa|-|Kadavul Kudutha Life La|-|Kalaurenda Siripula|-|Per Edutha Luck la|-|Kaatadha Nakkala|-|Pugazhchi Enum Kick la|-|Evanum Steady-a Nikkala|-|Vena Vena Vena Andha Route-u|-|Neeyum Vera Pakkam Minda Maathu|-|Thadaya Ellam Thukki Podu|-|Un Thiramai ELlam Neeyum Kaatu|-|Weight-u Kaatu
Nucleya Going to America lyrics,"I am going to America,|-|To see my girl Monica|-|If she is very busy|-|There is always Erica|-|I am going to America,|-|To see my girl Monica|-|If she is very busy|-|There is always Veronica|-|I have been to Africa|-|I have been to Sri Lanka|-|I have been to Antartica|-|But God bless America|-|I am going to America|-|Hey Pulla|-|Hey Pulla|-|I am going to America,|-|To see my girl Monica,|-|If she is very busy,|-|There is always Erica|-|I am going to America,|-|To see my girl Monica,|-|If she is very busy,|-|There is always Veronica|-|I have been to Africa|-|I have been to Sri Lanka|-|I have been to Antartica|-|But I am Nucleya from India|-|I am going to America|-|Hey Pulla|-|There is always Veronica|-|Hey Pulla|-|There is always Veronica!"
